time,x,y,z
0.0,-11.778842317448337,2.293223421450309,0.0
0.20198656244454163,-11.959831955450564,2.037880134214681,-0.03389384068711338
0.40397312488908327,-12.189361052921294,1.8627465809742452,-0.014489081284339032
0.6059596873336249,-12.306762592821594,1.6900165458685845,0.05603404503519246
0.8079462497781665,-12.400117401383916,1.4491806395626747,0.018741525233860606
1.0099328122227083,-12.55850757359459,1.2741489047289385,0.018530190384376147
1.2119193746672499,-12.71744241741966,1.0357565044044637,-0.043948962406795425
1.4139059371117915,-12.838431982359266,0.7780612441094786,-0.05133434905060846
1.615892499556333,-12.991769634477883,0.5550765840027879,0.006284768585213346
1.8178790620008747,-13.200995850997883,0.264678495365577,0.009384802361430532
2.0198656244454165,-13.27787797061958,0.050584154412210036,-0.04657383295686675
2.221852186889958,-13.485146821214498,-0.1737636313024951,0.028419220283795676
2.4238387493344997,-13.65141778388569,-0.38071781363568274,0.02960535682404078
2.625825311779041,-13.798568788700202,-0.6252211923225246,0.055578279838479475
2.827811874223583,-13.962802317612194,-0.9201267940239435,0.10341461533440105
3.0297984366681243,-14.111763507232608,-1.10345749752702,0.11769067095852458
3.231784999112666,-14.289228902848068,-1.345425262420581,0.07226697416782632
3.433771561557208,-14.467028713481387,-1.5560336239348613,0.03864686337074709
3.6357581240017494,-14.712592637840219,-1.813120662456015,0.04128520428982373
3.837744686446291,-14.781467406695585,-2.0503399141478855,-0.021442178595383506
4.039731248890833,-14.86356263569824,-2.252305337760917,-0.07280093996338338
4.241717811335374,-15.060014391109158,-2.4906793888703094,-0.020900715706862222
4.443704373779916,-15.345173626683025,-2.6862983150722846,0.019264326899717334
4.645690936224457,-15.544626638403892,-2.8853662410035668,-0.006572574689327638
4.847677498668999,-15.713878019272363,-3.200828534105,0.044333805199708684
5.049664061113541,-15.876740500088179,-3.5396923596781957,0.033877100981951895
5.251650623558082,-16.082917551900646,-3.818126542283201,0.03313042997693398
5.4536371860026245,-16.234253651286643,-4.123839188003711,0.004719084486030735
5.655623748447166,-16.340734881213844,-4.36043287361089,-0.034851244832723886
5.857610310891707,-16.53940635950183,-4.570429360695433,0.00045592526154483726
