corner_index,timestamp,neural_timestamp,actual_x,actual_y,actual_z,oracle_x,oracle_y,oracle_z,viterbi_x,viterbi_y,viterbi_z,smartfilter_x,smartfilter_y,smartfilter_z,neural_x,neural_y,neural_z
0,0.0,1.615892499556333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31.711890303793037,32.5198365535712,-27.185189306586693,-36.520452222394184,0.0,-27.185189306586693,-36.520452222394184,0.0,-27.185189306586693,-36.520452222394184,0.0,-27.185189306586693,-36.520452222394184,0.0,-27.185189306586693,-36.520452222394184,0.0
2,34.53749862164382,56.12648275002085,-2.1240133158067103,-8.153897482491029,0.0,-27.185189306586693,-36.520452222394184,0.0,-27.185189306586693,-36.520452222394184,0.0,-2.1240133158067103,-8.153897482491029,0.0,-2.1240133158067103,-8.153897482491029,0.0
3,57.53884619767168,79.47197925920285,-29.473071505360533,-14.889024059291671,0.0,-2.1240133158067103,-8.153897482491029,0.0,-2.1240133158067103,-8.153897482491029,0.0,-29.473071505360533,-14.889024059291671,0.0,-29.473071505360533,-14.889024059291671,0.0
4,61.79191827521414,99.35679532310685,-4.057172009179457,-43.22534207049034,0.0,-29.473071505360533,-14.889024059291671,0.0,-2.1240133158067103,-8.153897482491029,0.0,-4.057172009179457,-43.22534207049034,0.0,-4.057172009179457,-43.22534207049034,0.0
5,78.8623219838929,138.3688577344129,9.689259851125032,7.5347708909950555,0.0,-29.473071505360533,-14.889024059291671,0.0,-29.473071505360533,-14.889024059291671,0.0,9.689259851125032,7.5347708909950555,0.0,9.689259851125032,7.5347708909950555,0.0
6,81.70422896665676,177.94943441273497,55.482710201578605,17.804075631793125,0.0,-29.473071505360533,-14.889024059291671,0.0,-29.473071505360533,-14.889024059291671,0.0,55.482710201578605,17.804075631793125,0.0,55.482710201578605,17.804075631793125,0.0
7,105.03808104702182,198.06723946062357,40.387718886735264,-5.302092297956349,0.0,-4.057172009179457,-43.22534207049034,0.0,-4.057172009179457,-43.22534207049034,0.0,40.387718886735264,-5.302092297956349,0.0,40.387718886735264,-5.302092297956349,0.0
8,108.68178451267248,231.16883821376746,74.53555772576166,19.3140675452721,0.0,-4.057172009179457,-43.22534207049034,0.0,-4.057172009179457,-43.22534207049034,0.0,74.53555772576166,19.3140675452721,0.0,74.53555772576166,19.3140675452721,0.0
9,142.40791531560205,254.41907937065594,62.04999930449032,56.922180664828645,0.0,9.689259851125032,7.5347708909950555,0.0,9.689259851125032,7.5347708909950555,0.0,62.04999930449032,56.922180664828645,0.0,62.04999930449032,56.922180664828645,0.0
