Iteration,Method,precision,recall,f1,angular_error,rmse,missing_pct,n_detected,n_gt,detection_ratio_pct
1,Oracle,100.0,81.81818181818183,90.0,95.10662790977986,16.09054511834628,18.181818181818183,36,22,163.63636363636365
1,Viterbi,100.0,90.9090909090909,95.23809523809523,73.53584354590195,15.912246058731407,9.090909090909092,36,22,163.63636363636365
1,SmartFilter,100.0,90.9090909090909,95.23809523809523,73.51373924231025,15.833711606765222,9.090909090909092,21,22,95.45454545454545
1,Neural,100.0,40.909090909090914,58.06451612903226,36.81358177632757,45.58399435396819,59.09090909090909,23,22,104.54545454545455
2,Oracle,100.0,90.47619047619048,95.0,96.94425232596316,15.009584419166682,9.523809523809524,32,21,152.38095238095238
2,Viterbi,100.0,100.0,100.0,90.4193037123608,14.083154604625122,0.0,32,21,152.38095238095238
2,SmartFilter,100.0,100.0,100.0,91.74804501218873,13.889202061904305,0.0,21,21,100.0
2,Neural,100.0,90.47619047619048,95.0,81.08524385472323,49.36648378200389,9.523809523809524,21,21,100.0
3,Oracle,100.0,70.0,82.35294117647058,98.75946381565706,22.123147085789956,30.0,32,20,160.0
3,Viterbi,100.0,100.0,100.0,82.0385247950331,9.845449844212318,0.0,32,20,160.0
3,SmartFilter,100.0,100.0,100.0,72.32738688950434,9.376941612809315,0.0,20,20,100.0
3,Neural,100.0,100.0,100.0,72.32738688950434,13.119187307162852,0.0,20,20,100.0
4,Oracle,100.0,95.45454545454545,97.67441860465117,61.92647233227087,13.71851660153977,4.545454545454546,37,22,168.1818181818182
4,Viterbi,100.0,100.0,100.0,67.37066841187492,11.544386837715736,0.0,37,22,168.1818181818182
4,SmartFilter,100.0,100.0,100.0,75.58142898723995,11.359561092442027,0.0,22,22,100.0
4,Neural,100.0,100.0,100.0,75.58142898723995,11.742781548040247,0.0,22,22,100.0
5,Oracle,100.0,66.66666666666666,80.0,132.68300067833584,25.91177934100629,33.33333333333333,34,21,161.9047619047619
5,Viterbi,100.0,100.0,100.0,117.2361293285814,19.81968373186854,0.0,34,21,161.9047619047619
5,SmartFilter,100.0,100.0,100.0,92.53492597017302,20.420486317302807,0.0,21,21,100.0
5,Neural,100.0,100.0,100.0,92.53492597017302,19.260705022284597,0.0,21,21,100.0
