corner_index,timestamp,neural_timestamp,actual_x,actual_y,actual_z,oracle_x,oracle_y,oracle_z,viterbi_x,viterbi_y,viterbi_z,smartfilter_x,smartfilter_y,smartfilter_z,neural_x,neural_y,neural_z
0,0.0,5.429376899176184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36.19584599450789,30.96755712863453,-25.343325164273566,-46.78456809927818,0.0,-25.343325164273566,-46.78456809927818,0.0,-25.343325164273566,-46.78456809927818,0.0,-25.343325164273566,-46.78456809927818,0.0,-25.343325164273566,-46.78456809927818,0.0
2,39.83941971531677,64.62393817491292,1.4415016719001734,-50.90044818315317,0.0,-25.343325164273566,-46.78456809927818,0.0,-25.343325164273566,-46.78456809927818,0.0,1.4415016719001734,-50.90044818315317,0.0,1.4415016719001734,-50.90044818315317,0.0
3,57.76564875087494,82.37480491948182,37.66651728281944,-24.369256960625233,0.0,1.4415016719001734,-50.90044818315317,0.0,1.4415016719001734,-50.90044818315317,0.0,37.66651728281944,-24.369256960625233,0.0,37.66651728281944,-24.369256960625233,0.0
4,89.63699556279717,120.77376652851356,25.74423863968689,19.02970799369155,0.0,39.915049179440366,-32.83822238553737,0.0,37.66651728281944,-24.369256960625233,0.0,25.74423863968689,19.02970799369155,0.0,25.74423863968689,19.02970799369155,0.0
5,120.16720605515545,137.4482930432354,0.5980983299339826,1.322248374704337,0.0,39.915049179440366,-32.83822238553737,0.0,25.74423863968689,19.02970799369155,0.0,0.5980983299339826,1.322248374704337,0.0,0.5980983299339826,1.322248374704337,0.0
6,123.0063658073292,152.59988835464213,39.915049179440366,-32.83822238553737,0.0,39.915049179440366,-32.83822238553737,0.0,25.74423863968689,19.02970799369155,0.0,39.915049179440366,-32.83822238553737,0.0,39.915049179440366,-32.83822238553737,0.0
7,141.51644156039205,212.4397127328611,24.917282027333552,-80.54820694375374,0.0,39.915049179440366,-32.83822238553737,0.0,0.5980983299339826,1.322248374704337,0.0,24.917282027333552,-80.54820694375374,0.0,24.917282027333552,-80.54820694375374,0.0
8,144.55600165626726,242.92541299879852,67.30881175427896,-79.7238945152603,0.0,39.915049179440366,-32.83822238553737,0.0,0.5980983299339826,1.322248374704337,0.0,67.30881175427896,-79.7238945152603,0.0,67.30881175427896,-79.7238945152603,0.0
9,178.74252012436057,277.07550211928555,67.12954774456772,-124.99235656783361,0.0,39.915049179440366,-32.83822238553737,0.0,39.915049179440366,-32.83822238553737,0.0,67.12954774456772,-124.99235656783361,0.0,67.12954774456772,-124.99235656783361,0.0
10,182.7717224316872,304.04328008583525,82.52489894514206,-95.22418530734979,0.0,39.915049179440366,-32.83822238553737,0.0,39.915049179440366,-32.83822238553737,0.0,82.52489894514206,-95.22418530734979,0.0,82.52489894514206,-95.22418530734979,0.0
11,214.65976642886733,331.6780577911475,127.48565426791157,-90.73947801141347,0.0,24.917282027333552,-80.54820694375374,0.0,24.917282027333552,-80.54820694375374,0.0,127.48565426791157,-90.73947801141347,0.0,127.48565426791157,-90.73947801141347,0.0
