corner_index,timestamp,neural_timestamp,actual_x,actual_y,actual_z,oracle_x,oracle_y,oracle_z,viterbi_x,viterbi_y,viterbi_z,smartfilter_x,smartfilter_y,smartfilter_z,neural_x,neural_y,neural_z
0,0.0,8.745405205245417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21.355059222110903,28.480023363138578,19.613785410876197,25.863698457400425,0.0,19.613785410876197,25.863698457400425,0.0,19.613785410876197,25.863698457400425,0.0,19.613785410876197,25.863698457400425,0.0,19.613785410876197,25.863698457400425,0.0
2,25.018214963595927,48.80773248466209,45.286559623175265,9.388207834219788,0.0,19.613785410876197,25.863698457400425,0.0,19.613785410876197,25.863698457400425,0.0,45.286559623175265,9.388207834219788,0.0,45.286559623175265,9.388207834219788,0.0
3,43.75270747876792,104.27745678316435,13.478615592997919,-30.27296216822035,0.0,45.286559623175265,9.388207834219788,0.0,45.286559623175265,9.388207834219788,0.0,13.478615592997919,-30.27296216822035,0.0,13.478615592997919,-30.27296216822035,0.0
4,46.9920013009887,143.14931198212346,-25.374907395215587,-44.031502988104116,0.0,45.286559623175265,9.388207834219788,0.0,45.286559623175265,9.388207834219788,0.0,-25.374907395215587,-44.031502988104116,0.0,-25.374907395215587,-44.031502988104116,0.0
5,81.6924495815155,178.5099204349036,-43.08210009976109,-91.28353927012355,0.0,13.478615592997919,-30.27296216822035,0.0,13.478615592997919,-30.27296216822035,0.0,-43.08210009976109,-91.28353927012355,0.0,-43.08210009976109,-91.28353927012355,0.0
6,108.71379748348824,212.43781988495147,-61.47316068309395,-43.779826202906904,0.0,-25.374907395215587,-44.031502988104116,0.0,-25.374907395215587,-44.031502988104116,0.0,-61.47316068309395,-43.779826202906904,0.0,-61.47316068309395,-43.779826202906904,0.0
7,112.34119777238021,241.76005337555043,-115.62438792472139,-37.11964454151797,0.0,-25.374907395215587,-44.031502988104116,0.0,-25.374907395215587,-44.031502988104116,0.0,-115.62438792472139,-37.11964454151797,0.0,-115.62438792472139,-37.11964454151797,0.0
8,146.57243578320606,254.91416903701565,-99.43897678116697,-80.06886423307337,0.0,-43.08210009976109,-91.28353927012355,0.0,-43.08210009976109,-91.28353927012355,0.0,-99.43897678116697,-80.06886423307337,0.0,-99.43897678116697,-80.06886423307337,0.0
9,184.16877049977438,275.90064770096234,-127.00540233731778,-60.33600076530003,0.0,-61.47316068309395,-43.779826202906904,0.0,-61.47316068309395,-43.779826202906904,0.0,-127.00540233731778,-60.33600076530003,0.0,-127.00540233731778,-60.33600076530003,0.0
